id,text
rn-1790-00054," II. He is to give his constant Attendance on Board, and inspect into the Works doing to the ship, and to quicken the Dispatch thereof: He is to send to the Admiralty and Navy Offices Weekly Accounts, or oftner, if necessary, of the Progress made in fitting her out, and her Circumstances, as to Men, stores, and Provisions ; and whether there be any Delay, Neglect, or other Impediment, and the Cause thereof, that the necessary Orders may be given therein.
"
rn-1790-00055," III. He is not to lye out of the ship, from the Day of his coming on Board to the Day of his Discharge, unless by Leave from the Admiralty, or from his Commander in Chief. 
"
rn-1790-00056," IV. All Applications concerning the ship to the commissioner of the Navy refiding at the Port, are to be made in Writing under his Hand, when he cannot apply in person. 
"
rn-1790-00057," V. He is to apply to the Navy-Board for an Account of the Qualities of the ship, which will be deposited with them by those who have commanded her in former Voyages ; but if she be a new ship, he is to advise with the Master shipwright who built her.
"
rn-1790-00058," VI. He is to demand from the Clerk of the survey, a Book, with an Inventory of the stores committed to the Charge of the Boatswain and Carpenter, and a supplemental one for a Foreign Voyage ; and a like Book from the Office of Ordnance of the Gunner's stores. He is likewise to require from his Boatswain, Gunner, Carpenter, and Purser, Counterparts of their Respective Indents, which they are to deliver to him forewith after signing.
"
rn-1790-00059," VII. He is to be present himself at the coming on Board of the Ordnance stores, and to see the Cannon, Firelocks, swords, and other Weapons, carefully surveyed and examined before him, and to inform the Officers take Account of the Ordnance of such as shall appear to be defective, and not fitting for service, in order to their being exchanged. But in case he shall be then absent from the ship, he is to give strict Orders to the Lieutenant to comply therewith. He is likewise to take Care that his Clerk be present, and take an Account in Writing of all stores and Provisions that come on Board, and when ; which Account he is afterwards to compare with the Indents, to satisfy himself if the Whole has been received in Kind, or allowed in Credit; which last is not however to be admitted, but where the Necessity is evident : And if he observes any Fraud or Neglect, he is to represent the same to the secretary of the Admiralty, and also to the Office it immediately concerns.
"
rn-1790-00060," VIII. He is to keep Counter-Books of the Expence of Officers, and the ship's stores, to the End that he may always be able to know the state and Condition of the same. He is to audit the Accounts of the Officers entrufted with stores once a Week, and to sign such Allowances as he makes thereupon, taking Care not to pass any Articles that are unduly charged. And, at the End ofthe Voyage, he is to deliver the several Books, which he has kept of the Expence of stores, into the proper Offices, signed by himself, the Master, and by each Officer, to his respective Counterpart. 
"
rn-1790-00061," IX. He is to inform himself from the Clerk of the Cheque, of the Complement of Men allowed to the ship, and to use his utmost Application to get her mann'd, and to be very careful to enter none but Men of Able Bodies, and fit for service. He is constantly to keep the established Number of Men compleat, and never to proceed from the Place where the ship fits out, with more Men than the Complement, unless by Order from the Admiralty, or from a Commander in Chief. 
"
rn-1790-00062," X. He is to apply to the Clerk of the Acts at the Navy-Office, for a sufficient Number of Blank MusterBooks, which will be delivered to him ruled, and to keep an exact muster-book, setting down therein the Names of all persons entered to serve in the ship, with every circumstance relating to them, as is specified in the several Columns. When two Men, or more, are of the same Name, they are to be distinguished by 1st, 2d, and so on. The Number under which a Man is entered, in the Original Muster- Book, is to stand the same in all following muster- Books. If any Man is discharged and happens afterwards to be reentered, the Number of the first Entry is to be noted against the Number of the Re- entry, and vice versa, the Number of the Re- entry against the Number of the first Entry. When the ship arrives at the Port where she is to be laid up, he is to send the Original General muster- Book to the Comptroller of the Navy, signed by himself.
"
rn-1790-00063," XI. He is to be present at all musters of the ship's Company by the Clerk of the Cheque or muster- Master, and to make the same Annotations as they do against the Men's Names, on his own Books. He is to be assisting to them in the Execution of their Office, and see that the Purser do furnish them with perfect muster- Books : And if there shall be a want of Blank Books during the Voyage, he is to demand a supply from the Clerk of the Cheque or Muster-Master, at the first Port he shall happen to put into. And he is to deliver, at the End of the Voyage, into the Office of the Clerk of the Acts, a regular Account of the Expence of the Blank Books and muster- Paper he has received, and return what is left.
"
rn-1790-00064," XII. He is to demand from the Clerk of the Cheque at the Port where the ship is , before she departs from his District, a perfect muster- Book of the Men's Names, with their Entries and Cheques against the Absent. 
"
rn-1790-00065," XIII. He is himself to muster the ship's Company at least once a Week in Port, where there is no Clerk of the Cheque or muster- Master, and to do the same at sea; and to be very exact in noting the Time of each Man's Death or discharge ; as also in Pricking or Running such as are absent without Leave, and Chequing those who are absent on the service, or with License ; and in setting against the Names of such as are away upon the ship's Account, what services they are employed on, with the Days of their Departure and Return. He is strictly charged not to employ any seamen out of the ship on Private services, nor to bear any Men longer than the real Time of their service, nor to put down any fictitious Names upon the Books. if any Person shall absent himself from his Duty without Leave, for three successive musters, he is to be marked as a Runaway on the ship's Books, according to the ancient Practice of the Navy, expressing the Day he left the ship. 
"
rn-1790-00066," XIV. He is to send, once in every two Months, two Muster-Books to the Navy- Office, signed by himself and the Officers who sign Tickets, and to take great Care that such Books be full and perfect, and every Circumstance relating to the Men plainly noted therein, according to the Method prescribed in the several Columns ; and that the Times of Mustering and the Muster- Letters be duly set off. He is to write down at the End, the Number of Men Borne, mustered and Chequed, at each muster. The supernumeraries, if any, are likewise to be set down at the End of the said Books, with the several Annotations against their Names which the Columns direct, and also an Account, by what Order, or on what occasion they are Borne. He is to keep a Book of all Men sent sick out of the ship, mentioning, in proper Columns, their Number on the ship's Book, Names, when and where sent, when returned or discharged, and Number of Days absent ; which is to be delivered into the Office of Comptroller of the Navy, according to the Form in Page ( 185).
"
rn-1790-00067," XV. At the End of the muster- Books he is to make a List of such seamen as are made Run, distinguishing whether they ran away from the ship, or the Boat, or from sick Quarters ; or if they had Leave to go on shore, and for how long; as also the Manner, and by what Opportunity they made their Escape ; and whether he thinks they deserve to be relieved, or not, and his Reasons for it.
"
rn-1790-00068," XVI. If the said Desertion happens in any of the Ports of of this Kingdom, he is to send up to the secretary of the Admiralty, the Names of the Run Men, their Description, Place of Abode, and all the circumstances of their Escape ; together with the Names of such persons as can give the best Evidence of the Facts, to the End that (if it should be thought proper) the Provost Marshal may be sent to apprehend them, in order to their being brought to a Court Martial. 
"
rn-1790-00069," XVII. He is to apply to the Clerk of the Acts for a competent Number of Blank printed Tickets, which he is carefully to keep by him, using them (and none other) as there shall be occasion. He is to make out Tickets for all such seamen as shall be discharged from his Books, which are to be signed by himself, the Master, Boatswain, and Purser, or Reason shewn upon the Ticket, of the Omission of any of their Hands ; and the Gunners and Carpenters are likewise to sign for their respective Crews. He is to deliver the Ticket to none but the Party; but if he be dead, or absent, he is to send the Ticket forthwith to the Navy- Office. At the End of the Voyage he is to give an Account to the Clerk of the Acts, how many Tickets have been delivered out, with the Numeral Letter and Number by which each is distinguished ; the Day of signing; the person dead, or discharged ; and to whom they were delivered ; and to return the Remainder into the Office.
"
rn-1790-00070," XVIII. He is not to discharge any Man but for one of the following Reasons, viz. Death; Preferment in some other of His Majesty's ships ; Unfitness for service ; Officers servants rated; or by Order from the Admiralty, or his Commander in Chief; and to express the Cause upon the Ticket. At the Beginning of every Month, if the ship is in Great-Britain or Ireland, he is to send to the Admiralty Office a List of all Men discharged in the preceding Month, with the Time, Place, and Reasons thereof, as also their Qualities.
"
rn-1790-00071," XIX. He is not to suffer any of the stores to be misapplied to private Uses, nor any Waste to be made, nor shall any stores be changed or converted, but upon absolute Necessity, and with the Advice of his Officers ; and where any conversions shall be made, to be very careful in charging the Respective Officers therewith, and in giving an Account of them at the End of the Voyage, or on the Death or Removal of the respective Officer, to the surveyor's Office ; and to take Care that all stores loft or destroyed, either by Carelessness, or unavoidable Accident, or that are embezzled, be taken Notice of in a particular Manner, in the Expence- Book of the Respective Officer, and the Value of any stores or of the stores loft by Carelessness, or that shall be embezzled, be charged against the Wages of the Offenders, on the muster and Pay- Books, that the same be abated from them at the Pay- Table.
"
rn-1790-00072," XX. He shall make no Alteration in the masts, Yards, sails, or Furniture of the ship ; nor alter any Cabbins, Bulk-Heads, store- Rooms, or set up any new Accommodations ; nor shall he cut down any Part of the ship, or cause scuttles to be made or enlarged in her sides.
"
rn-1790-00073," XXI. He is to keep a Centinel constantly posted at the scuttles leading down into the Boatswain's, Gunner's, and Carpenter's store- Rooms, (as also into the Powder Light- Rooms) which Centinel is to be ordered not to suffer any Person to pass down the said scuttles with a Light, but by Leave from the Captain, or the Commanding Officer of the Watch; which Leave is to be signified to the said Centinel by an Officer from the Quarter-Deck, and such Light is always to be carried in a secure Lanthorn. He is to take Care that no person whatsoever do lie in any of the said store- Rooms, and that no Wine, Brandy, or any Thing else, be lodged therein, but the ship's proper stores.
"
rn-1790-00074," XXII. He is not to spare any Provisions or stores to any Provisions of His Majesty's ships, but where the Necessity is evident, and by Direction of his Commanding Officer, and always to give his Officers a Warrant in Writing for it. He is to be very careful to send, by the first Opportunity, to the proper Offices, distinct Accounts of all the supplies he gives to other ships, or receives from them ; and of all stores that shall be returned into any of His Majesty's stores Abroad, either decayed or serviceable; to remain there as a Charge and Discharge to the said Officers.
"
rn-1790-00075," XXIII. He is to observe seasonable Times in setting up his shrouds, and other Rigging, especially when they are new, and apt to stretch; and to be very careful to favour his masts, and not to hazard them in blowing Weather, except upon a Chase, or some other pressing occasion.
"
rn-1790-00076," XXIV. When there shall be a Necessity to Cast any Rigging, or other stores, he is first to order a survey to be taken thereof, in the same Manner as is hereinafter directed.
"
rn-1790-00077," XXV. He is to cause such of the stores as require it, to be frequently brought upon Deck, to be surveyed and aired, and their Defects repaired ; and the store- Rooms are to be cleaned, aired, and put into good Condition, and made as secure as possible against Rats. 
"
rn-1790-00078," XXVI. He is never to make use of the ship's sails for covering Boats, or for Awnings ; Canvas Awnings being allowed to ships in southern Voyages.
"
rn-1790-00079," XXVII. He is not to suffer the ship's Decks or Gratings to be scraped oftener than shall be absolutely necessary, but take Care that they be well washed and squabbed once a Day, and the Air let into the Hold as frequently as may be. 
"
rn-1790-00080," XXVIII. He shall permit every Officer to possess the Cabbin allotted to him by the Custom of the Navy, and not make any Variation therein. 
"
rn-1790-00081," XXIX. No person is to lie upon the Orlop, but by Leave from the Captain ; nor is any person to go amongst the Cables with Candles, but when the service shall require it, by Order of the Captain, or the Commanding Officer of the Watch, and under the Care of a QuarterDeck Officer.
"
rn-1790-00082," XXX. such as smoak Tobacco are to take it in the Forecastle, and in no other Place, taking all possible Care to prevent Accidents from Fire.
"
rn-1790-00083," XXXI. And for the further preventing such Accidents, Care is to be taken every Night, that immediately upon the setting of the Watch, both Fire and Candle be put out in the Cock- Room, Hold, steward- Room, Cock- Pit, and every where between Decks, the Master at Arms, or some other careful Officer, being sent about to see the same performed ; nor are Candles to be used in any other Part of the ship, but in Lanthorns, without the Captain's Leave.
"
rn-1790-00084," XXXII. He is not to suffer any person whatsoever to suttle, or sell any sort of Liquors to the ship's Company, nor any Debts for the same to be inserted in the slop -Book, under Pretence of Cloaths or Tobacco issued to the seamen.
"
rn-1790-00085," XXXIII. Before the ship proceeds to sea, or as soon after as possible, he is to call together his first- Lieutenant, Company. Master, and Boatswain, and take their Assistance, (as also the Gunner's and Carpenter's, for their Crews) in examining and rating the ship's Company, according to their Abilities, which he is to do without Partiality or Favour, and particularly not to rate any as inferior Officers, but those who are properly qualified ; and to take strict Care that every person in the ship, with out Regard or distinction, do actually perform the service for which he is rated. And, for his Instruction in rating the ship's Company, it is here declared, that none shall be rated Able but who have served three Years (at least) at sea, and are capable of doing the Duty of an Able scamen; nor Midshipmen, till they have served four Years, and are in all Respects qualified for it ; nor will they be paid as such, unless they produce regular Journals to the commissioner who comptrolls the Payment of the ship. And the same is expected from the Master's Mates.
"
rn-1790-00086," XXXIV. None are to be rated Midshipmen Ordinary, but such as have served Volunteers by Order ; and they who are so rated , shall receive the Pay of an Able seamen, upon their producing a Certificate from their Captain that they are qualified, and did the Duty of Midshipmen. The Number each ship is allowed to bear, is as follows, viz. To quarter the ship's Company. Rate. 
"
rn-1790-00087," XXXV. Before the ship sails, the Captain is to make a Regulation for Quartering the Officers and Men, distributing them to the Great Guns, small Arms, Rigging, &c. And that every Man may the better know his station and Duty in Case of Action, he is not only to cause a general Table, expressing the Men's Names, and their respective Quarters, to be hung up in some public Place of the ship, but also particular Bills of Parchment to be fixed in every Quarter, and over every Gun, containing the Men's Names appointed to each Quarter. And he is to Discipline the ship's Company frequently in the Exercise of the Great Guns and and small Arms, to render them more expert in Time of Battle, and to set down in his Journal the Times he exercises them.
"
rn-1790-00088," XXXVI. If any Officers are absent from their Duty, when the ship is under sailing Orders, he is timely to send their Names up to the secretary of the Admiralty, with the cause of their Absence that (if it shall be thought proper) other Officers may be sent down in their Room.
"
rn-1790-00089," XXXVII. He is to carry his full Number of Boats to sea, and to take Care to secure them before blowing Weather; he is to husband the ship's Colours, and not to keep them abroad in windy Weather, the Pendant being a sufficient Mark of distinction.
"
rn-1790-00090," XXXVIII. He is not to carry any Woman to sea, nor to entertain any Foreigners to serve in the ship,  who are Officers or Gentlemen, without Orders from the Admiralty.
"
rn-1790-00091," XXXIX. When he is to sail from one Port to another in Time of War, or Appearance of War, he is to give timely Notice to the Masters of Merchant-ships bound his Way, and take such of them under his Care and Protection, as shall be desirous and ready to accompany him, but not to`make any unnecessary stay, or deviate from his Orders upon that Account. He is to give the said ships, as also to such others as he shall meet with in his passage, safe Convoy towards the Ports whereto they are bound, as far as his and their Way lie together.
"
rn-1790-00092," XL. He is, from the Time of his going on Board, to keep a Journal, according to the Form set down in Page 158, 159. ) and be careful to note therein all Occurrences, viz. Place where the ship is at Noon ; Changes of Wind and Weather; salutes, with the Reasons thereof; Remarks on unknown Places ; and in general, every circumstance that Concerns the ship, her stores and Provisions. At the End of every six Months he is to send a Copy of his Journal for the said Time, to the secretary of the Admiralty ; and at the Expiration of the Voyage, to deliver a general Copy of his Journal, signed by himself, into the Admiralty and Navy- Offices.
"
rn-1790-00093," XLI. He is, by all Opportunities, to send particular Accounts of his Proceedings to the secretary of the Admiralty, mentioning therein the Condition of his ship, Men, stores, and Provisions, together with all Condition of other Occurrences which he has met with, deserving Notice. He is never to omit owning the Receipt of Orders sent to him from the Admiralty; and he is likewise to keep a punctual Correspondence with the Navy, Victualling, Ordnance, sick and Wounded, per Offices, and other Publick Offices, in whatsoever Respectively concerns them.
"
rn-1790-00094," XLII. He is not to go into any other Port than such as his Orders direct him, unless by inevitable Necessity, and then to make no unnecessary stay there. If he is employed in a cruizing station, he is to keep the sea the Time required by his Orders ; but if he is compelled by any Accident to return sooner into Port, he is to send in Writing the Reasons thereof to the secretary of the Admiralty, as also to the Commander in Chief, if any such be there, and to put to sea again so soon as the ship's Wants are supplied.
"
rn-1790-00095," XLIII. Upon all occasions of Anchoring, he is to be very  careful in the Choice of a good Berth, and when he is at Anchor in Roads where he is a stranger, to cause the Master, or some other careful Officer, to sound, at least, as far as two or three Cables Distance round the ship, in order to inform him of the Nature of the Ground, and to discover if any hidden Rocks or shoals be near ; and he is to note down in his Journal the most proper Places for Anchoring, with the Depth of Water, Bearings of Points, and Lands, and such other Remarks as he shall judge necessary.
"
rn-1790-00096," XLIV. When any Custom- House Officer shall come on Board, upon the Arrival of the ship in any of His Majesty's Ports, they are not to be obftructed or ill-treated in the Execution of their Duty, His Majesty's ships being liable to visitation as well as the ships of Merchants ; and if they shall be in Need of the ship's Provisions during their stay on Board, he is to order them to be victualled as the ship's Company.
"
rn-1790-00097," XLV. When he meets with any Foreign ship or Vessel, he is to send a commission Officer to enquire if any seamen, who are his Majesty's subjects, be on Board her, and to demand all such, obliging their Masters to pay them their Wages to that Day. But this is to be done with civil and friendly Behaviour on the Part of His Majesty's Officers, who are to be very careful not to offer any Violence or ill Treatment to the subjects of His Majesty's Friends or Allies.
"
