id,text,match_1,match_2,match_3,match_4,match_5,match_6,match_7,match_8,match_9,match_10
rn-1790-00057," v. he is to apply to the navy-board for an account of the qualities of the ship, which will be deposited with them by those who have commanded her in former voyages ; but if she be a new ship, he is to advise with the master shipwright who built her.
",,,,,,,,,,
rn-1790-00058," vi. he is to demand from the clerk of the survey, a book, with an inventory of the stores committed to the charge of the boatswain and carpenter, and a supplemental one for a foreign voyage ; and a like book from the office of ordnance of the gunner's stores. he is likewise to require from his boatswain, gunner, carpenter, and purser, counterparts of their respective indents, which they are to deliver to him forewith after signing.
",,,,,,,,,,
rn-1790-00059," vii. he is to be present himself at the coming on board of the ordnance stores, and to see the cannon, firelocks, swords, and other weapons, carefully surveyed and examined before him, and to inform the officers take account of the ordnance of such as shall appear to be defective, and not fitting for service, in order to their being exchanged. but in case he shall be then absent from the ship, he is to give strict orders to the lieutenant to comply therewith. he is likewise to take care that his clerk be present, and take an account in writing of all stores and provisions that come on board, and when ; which account he is afterwards to compare with the indents, to satisfy himself if the whole has been received in kind, or allowed in credit; which last is not however to be admitted, but where the necessity is evident : and if he observes any fraud or neglect, he is to  to the  admiralty, and also to the office it immediately concerns.
",,,,,,,,,,
rn-1790-00060," viii. he is to keep counter-books of the expence of officers, and the ship's stores, to the end that he may always be able to know the state and condition of the same. he is to audit the accounts of the officers entrufted with stores once a week, and to sign such allowances as he makes thereupon, taking care not to pass any articles that are unduly charged. and, at the end ofthe voyage, he is to deliver the several books, which he has kept of the expence of stores, into the proper offices, signed by himself, the master, and by each officer, to his respective counterpart. 
",,,,,,,,,,
rn-1790-00061," ix. he is to inform himself from the clerk of the cheque, of the complement of men allowed to the ship, and to use his utmost application to get her mann'd, and to be very careful to enter none but men of able bodies, and fit for service. he is constantly to keep the established number of men compleat, and never to proceed from the place where the ship fits out, with more men than the complement, unless by order from the admiralty, or from a commander in chief. 
",,,,,,,,,,
rn-1790-00062," x. he is to apply to the clerk of the acts at the navy-office, for a sufficient number of blank musterbooks, which will be delivered to him ruled, and to keep an exact muster-book, setting down therein the names of all persons entered to serve in the ship, with every circumstance relating to them, as is specified in the several columns. when two men, or more, are of the same name, they are to be distinguished by 1st, 2d, and so on. the number under which a man is entered, in the original muster- book, is to stand the same in all following muster- books. if any man is discharged and happens afterwards to be reentered, the number of the first entry is to be noted against the number of the re- entry, and vice versa, the number of the re- entry against the number of the first entry. when the ship arrives at the port where she is to be laid up, he is to send the original general muster- book to the comptroller of the navy, signed by himself.
",,,,,,,,,,
rn-1790-00063," xi. he is to be present at all musters of the ship's company by the clerk of the cheque or muster- master, and to make the same annotations as they do against the men's names, on his own books. he is to be assisting to them in the execution of their office, and see that the purser do furnish them with perfect muster- books : and if there shall be a want of blank books during the voyage, he is to demand a supply from the clerk of the cheque or muster-master, at the first port he shall happen to put into. and he is to deliver, at the , into the office of the clerk of the acts, a regular account of the expence of the blank books and muster- paper he has received, and return what is left.
",,,,,,,,,,
rn-1790-00064," xii. he is to demand from the clerk of the cheque at the port where the ship is , before she departs from his district, a perfect muster- book of the men's names, with their entries and cheques against the absent. 
",,,,,,,,,,
rn-1790-00065," xiii. he is himself to muster the ship's company at least once a week in port, where there is no clerk of the cheque or muster- master, and to do the same at sea; and to be very exact in noting the time of each man's death or discharge ; as also in pricking or running such as are absent without leave, and chequing those who are absent on the service, or with license ; and in setting against the names of such as are away upon the ship's account, what services they are employed on, with the days of their departure and return. he is strictly charged not to employ any seamen out of the ship on private services, nor to bear any men longer than the real time of their service, nor to put down any fictitious names upon the books. if any person shall absent himself from his duty without leave, for three successive musters, he is to be marked as a runaway on the ship's books, according to the ancient practice of the navy, expressing the day he left the ship. 
",,,,,,,,,,
rn-1790-00066," xiv. he is to send, once in every two months, two muster-books to the navy- office, signed by himself and the officers who sign tickets, and to take great care that such books be full and perfect, and every circumstance relating to the men plainly noted therein, according to the method prescribed in the several columns ; and that the times of mustering and the muster- letters be duly set off. he is to write down at the end, the number of men borne, mustered and chequed, at each muster. the supernumeraries, if any, are likewise to be set down at the end of the said books, with the several annotations against their names which the columns direct, and also an account, by what order, or on what occasion they are borne. he is to keep a book of all men sent sick out of the ship, mentioning, in proper columns, their number on the ship's book, names, when and where sent, when returned or discharged, and number of days absent ; which is to be delivered into the office of comptroller of the navy, according to the form in page ( 185).
",,,,,,,,,,
rn-1790-00067," xv. at the end of the muster- books he is to make a list of such seamen as are made run, distinguishing whether they ran away from the ship, or the boat, or from sick quarters ; or if they had leave to go on shore, and for how long; as also the manner, and by what opportunity they made their escape ; and whether he thinks they deserve to be relieved, or not, and his reasons for it.
",,,,,,,,,,
rn-1790-00068," xvi. if the said desertion happens in any of the ports of of this kingdom, he is to send up to the  admiralty, the names of the run men, their description, place of abode, and all the circumstances of their escape ; together with the names of such persons as can give the best evidence of the facts, to the end that (if it should be thought proper) the provost marshal may be sent to apprehend them, in order to their being brought to a court martial. 
",,,,,,,,,,
rn-1790-00069," xvii. he is to apply to the clerk of the acts for a competent number of blank printed tickets, which he is carefully to keep by him, using them (and none other) as there shall be occasion. he is to make out tickets for all such seamen as shall be discharged from his books, which are to be signed by himself, the master, boatswain, and purser, or reason shewn upon the ticket, of the omission of any of their hands ; and the gunners and carpenters are likewise to sign for their respective crews. he is to deliver the ticket to none but the party; but if he be dead, or absent, he is to send the ticket forthwith to the navy- office. at the  he is to give an account to the clerk of the acts, how many tickets have been delivered out, with the numeral letter and number by which each is distinguished ; the day of signing; the person dead, or discharged ; and to whom they were delivered ; and to return the remainder into the office.
",,,,,,,,,,
rn-1790-00070," xviii. he is not to discharge any man but for one of the following reasons, viz. death; preferment in some other of his majesty's ships ; unfitness for service ; officers servants rated; or by order from the admiralty, or his commander in chief; and to express the cause upon the ticket. at the beginning of every month, if the ship is in great-britain or ireland, he is to send to the admiralty office a list of all men discharged in the preceding month, with the time, place, and reasons thereof, as also their qualities.
",,,,,,,,,,
rn-1790-00071," xix. he is not to suffer any of the stores to be misapplied to private uses, nor any waste to be made, nor shall any stores be changed or converted, but upon , and with the advice of his officers ; and where any conversions shall be made, to be very careful in charging the respective officers therewith, and in giving an account of them at the , or on the death or removal of the respective officer, to the surveyor's office ; and to take care that all stores loft or destroyed, either by carelessness, or unavoidable accident, or that are embezzled, be taken notice of in a particular manner, in the expence- book of the respective officer, and the value of any stores or of the stores loft by carelessness, or that shall be embezzled, be charged against the wages of the offenders, on the muster and pay- books, that the same be abated from them at the pay- table.
",,,,,,,,,,
rn-1790-00072," xx. he shall make no alteration in the masts, yards, sails, or furniture of the ship ; nor alter any cabbins, bulk-heads, store- rooms, or set up any new accommodations ; nor shall he cut down any part of the ship, or cause scuttles to be made or enlarged in her sides.
",,,,,,,,,,
rn-1790-00073," xxi. he is to keep a centinel constantly posted at the scuttles leading down into the boatswain's, gunner's, and carpenter's store- rooms, (as also into the powder light- rooms) which centinel is to be ordered not to suffer any person to pass down the said scuttles with a light, but by leave from the captain, or the commanding officer of the watch; which leave is to be signified to the said centinel by an officer from the quarter-deck, and such light is always to be carried in a secure lanthorn.  that no person whatsoever do lie in any of the said store- rooms, and that no wine, brandy, or any thing else, be lodged therein, but the ship's proper stores.
",,,,,,,,,,
rn-1790-00074," xxii. he is not to spare any provisions or stores to any provisions of his majesty's ships, but where the necessity is evident, and by direction of his commanding officer, and always to give his officers a warrant in writing for it. he is to be very careful to send, by the first opportunity, to the proper offices, distinct accounts of all the supplies he gives to other ships, or receives from them ; and of all stores that shall be returned into any of his majesty's stores abroad, either decayed or serviceable; to remain there as a charge and discharge to the said officers.
",,,,,,,,,,
rn-1790-00075," xxiii. he is to observe seasonable times in setting up his shrouds, and other rigging, especially when they are new, and apt to stretch; and to be very careful to favour his masts, and not to hazard them in blowing weather, except upon a chase, or some other pressing occasion.
",,,,,,,,,,
rn-1790-00076," xxiv. when there shall be a necessity to cast any rigging, or other stores, he is first to order a survey to be taken thereof, in the same manner as is hereinafter directed.
",,,,,,,,,,
rn-1790-00077," xxv. he is to cause such of the stores as require it, to be frequently brought upon deck, to be surveyed and aired, and their defects repaired ; and the store- rooms are to be cleaned, aired, and put into good condition, and made as secure as possible against rats. 
",,,,,,,,,,
rn-1790-00078," xxvi. he is never to make use of the ship's sails for covering boats, or for awnings ; canvas awnings being allowed to ships in southern voyages.
",,,,,,,,,,
rn-1790-00079," xxvii. he is not to suffer the ship's decks or gratings to be scraped oftener than shall be absolutely necessary, but take care that they be well washed and squabbed once a day, and the air let into the hold as frequently as may be. 
",,,,,,,,,,
rn-1790-00080," xxviii. he shall permit every officer to possess the cabbin allotted to him by the custom of the navy, and not make any variation therein. 
",,,,,,,,,,
rn-1790-00081," xxix. no person is to lie upon the orlop, but by leave from the captain ; nor is any person to go amongst the cables with candles, but when the service shall require it, by order of the captain, or the commanding officer of the watch, and under the care of a quarterdeck officer.
",,,,,,,,,,
rn-1790-00082," xxx. such as smoak tobacco are to take it in the forecastle, and in no other place, taking all possible care to prevent accidents from fire.
",,,,,,,,,,
rn-1790-00083," xxxi. and for the further preventing such accidents, care is to be taken every night, that immediately upon the setting of the watch, both fire and candle be put out in the cock- room, hold, steward- room, cock- pit, and every where between decks, the master at arms, or some other careful officer, being sent about to see the same performed ; nor are candles to be used in any other part of the ship, but in lanthorns, without the captain's leave.
",,,,,,,,,,
rn-1790-00084," xxxii. he is not to suffer any person whatsoever to suttle, or sell any sort of liquors to the ship's company, nor any debts for the same to be inserted in the slop -book, under pretence of cloaths or tobacco issued to the seamen.
",,,,,,,,,,
rn-1790-00085," xxxiii. before the ship proceeds to sea, or as soon after as possible, he is to call together his first- lieutenant, company. master, and boatswain, and take their assistance, (as also the gunner's and carpenter's, for their crews) in examining and rating the ship's company, according to their abilities, which he is to do without partiality or favour, and particularly not to rate any as inferior officers, but those who are properly qualified ; and to take strict care that every person in the ship, with out regard or distinction, do actually perform the service for which he is rated. and, for his instruction in rating the ship's company, it is here declared, that none shall be rated able but who have served three years (at least) at sea, and are capable of doing the duty of an able scamen; nor midshipmen, till they have served four years, and are in all respects qualified for it ; nor will they be paid as such, unless they produce regular journals to the commissioner who comptrolls the payment of the ship. and the same is expected from the master's mates.
",,,,,,,,,,
rn-1790-00086," xxxiv. none are to be rated midshipmen ordinary, but such as have served volunteers by order ; and they who are so rated , shall receive the pay of an able seamen, upon their producing a certificate from their captain that they are qualified, and did the duty of midshipmen. the number each ship is allowed to bear, is as follows, viz. to quarter the ship's company. rate. 
",,,,,,,,,,
rn-1790-00087," xxxv. before the ship sails, the captain is to make a regulation for quartering the officers and men, distributing them to the great guns, small arms, rigging, &c. and that every man may the better know his station and duty in case of action, he is not only to cause a general table, expressing the men's names, and their respective quarters, to be hung up in some public place of the ship, but also particular bills of parchment to be fixed in every quarter, and over every gun, containing the men's names appointed to each quarter. and he is to discipline the ship's company frequently in the exercise of the great guns and and small arms, to render them more expert in time of battle, and to set down in his journal the times he exercises them.
",,,,,,,,,,
rn-1790-00088," xxxvi. if any officers are absent from their duty, when the ship is under sailing orders, he is timely to send their names up to the  admiralty, with the cause of their absence that (if it shall be thought proper) other officers may be sent down in their room.
",,,,,,,,,,
rn-1790-00089," xxxvii. he is to carry his full number of boats to sea, and to take care to secure them before blowing weather; he is to husband the ship's colours, and not to keep them abroad in windy weather, the pendant being a sufficient mark of distinction.
",,,,,,,,,,
rn-1790-00090," xxxviii. he is not to carry any woman to sea, nor to entertain any foreigners to serve in the ship,  who are officers or gentlemen, without orders from the admiralty.
",,,,,,,,,,
rn-1790-00091," xxxix. when he is to sail from one port to another in time of war, or appearance of war, he is to give timely notice to the masters of merchant-ships bound his way, and take such of them under his care and protection, as shall be desirous and ready to accompany him, but not to`make any unnecessary stay, or deviate from his orders upon that account. he is to give the said ships, as also to such others as he shall meet with in his passage, safe convoy towards the ports whereto they are bound, as far as his and their way lie together.
",,,,,,,,,,
rn-1790-00092," xl. he is, from the time of his going on board, to keep a journal, according to the form set down in page 158, 159. ) and be careful to note therein all occurrences, viz. place where the ship is at noon ; changes of wind and weather; salutes, with the reasons thereof; remarks on unknown places ; and in general, every circumstance that concerns the ship, her stores and provisions. at the end of every six months he is to send a copy of his journal for the said time, to the  admiralty ; and at the expiration of the voyage, to deliver a general copy of his journal, signed by himself, into the admiralty and navy- offices.
",,,,,,,,,,
rn-1790-00093," xli. he is, by all opportunities, to send particular accounts of his proceedings to the  admiralty, mentioning therein the condition of his ship, men, stores, and provisions, together with all condition of other occurrences which he has met with, deserving notice. he is never to omit owning the receipt of orders sent to him from the admiralty; and he is likewise to keep a punctual correspondence with the navy, victualling, ordnance, sick and wounded, per offices, and other publick offices, in whatsoever respectively concerns them.
",,,,,,,,,,
rn-1790-00094," xlii. he is not to go into any other port than such as his orders direct him, unless by inevitable necessity, and then to make no unnecessary stay there. if he is employed in a cruizing station, he is to keep the sea the time required by his orders ; but if he is compelled by any accident to return sooner into port, he is to send in writing the reasons thereof to the  admiralty, as also to the commander in chief, if any such be there, and to put to sea again so soon as the ship's wants are supplied.
",,,,,,,,,,
rn-1790-00095," xliii. upon all occasions of anchoring, he is to be very  careful in the choice of a good berth, and when he is at anchor in roads where he is a stranger, to cause the master, or some other careful officer, to sound, at least, as far as two or three cables distance round the ship, in order to inform him of the nature of the ground, and to discover if any hidden rocks or shoals be near ; and he is to note down in his journal the most proper places for anchoring, with the depth of water, bearings of points, and lands, and such other remarks as he shall judge necessary.
",,,,,,,,,,
rn-1790-00096," xliv. when any custom- house officer shall come on board, upon the arrival of the ship in any of his majesty's ports, they are not to be obftructed or ill-treated in the execution of their duty, his majesty's ships being liable to visitation as well as the ships of merchants ; and if they shall be in need of the ship's provisions during their stay on board, he is to order them to be victualled as the ship's company.
",,,,,,,,,,
rn-1790-00097," xlv. when he meets with any foreign ship or vessel, he is to send a commission officer to enquire if any seamen, who are his majesty's subjects, be on board her, and to demand all such, obliging their masters to pay them their wages to that day. but this is to be done with civil and friendly behaviour on the part of his majesty's officers, who are to be very careful not to offer any violence or ill treatment to the subjects of his majesty's friends or allies.
",,,,,,,,,,
rn-1790-00098," xlvi. when the ship is in foreign parts, where there are no naval officers, and there shall be an  to careen her, the captain is to do it with the best husbandry, and not to hire any master shipwrights to supervise the work, which is to be done by the carpenter of the ship.
",,,,,,,,,,
rn-1790-00099," xlvii. he is not to hire any vessels for careening the ship, or receiving her stores or provisions, unless the same be absolutely necessary; and in that case not to take more tonnage than is needful ; nor to keep the same longer than the service will want ; all which is to be proved by certificates from the signing officers, and that the rates the vessels were hired at were as reasonable as could be procured in those parts ; and the said certificates are to mention the tonnage of the vessels, number of men belonging to them, the services they have been employed on, and the time employed upon each distinct service.
",,,,,,,,,,
rn-1790-00100," xlviii. he is never to cause the ship to be painted either within board or without, nor to bring any charge in his accounts for commission- money, nor to bream the ship with old junk, old ropes, or tar, when brush or other materials can be had; and what old masts, spars, deals, and other things remain after the cleaning is over, are to be charged on the proper offices for future use. 
",,,,,,,,,,
rn-1790-00101," xlix. none are to be employed, but the company of the ship, in careening and refitting her ; but if, by reason of death or sickness, there shall be an  of hiring any sort of artificers from the shore, their names are to be entered on a list, and they are to be daily mustered, and kept to their works, and discharged as soon as they can be spared : and as they are to be hired on the cheapest terms, so they are to be paid by the said list, in the presence of two or more commission or warrant officers, who are to attest the said payments. 
",,,,,,,,,,
